Year,STATE/UT,DISTRICT,Assault_on_women_with_intent_to_outrage_her_modesty
2001,westbengal,24_parganas_north,63
2002,westbengal,24_parganas_north,84
2003,westbengal,24_parganas_north,105
2004,westbengal,24_parganas_north,154
2005,westbengal,24_parganas_north,151
2006,westbengal,24_parganas_north,175
2007,westbengal,24_parganas_north,187
2008,westbengal,24_parganas_north,209
2009,westbengal,24_parganas_north,203
2010,westbengal,24_parganas_north,174
2011,westbengal,24_parganas_north,218
2012,westbengal,24_parganas_north,196
2013,westbengal,24_parganas_north,307
2001,westbengal,24_parganas_south,54
2002,westbengal,24_parganas_south,64
2003,westbengal,24_parganas_south,105
2004,westbengal,24_parganas_south,101
2005,westbengal,24_parganas_south,123
2006,westbengal,24_parganas_south,157
2007,westbengal,24_parganas_south,205
2008,westbengal,24_parganas_south,192
2009,westbengal,24_parganas_south,120
2010,westbengal,24_parganas_south,113
2011,westbengal,24_parganas_south,121
2012,westbengal,24_parganas_south,83
2013,westbengal,24_parganas_south,212
2001,andhrapradesh,adilabad,149
2002,andhrapradesh,adilabad,174
2003,andhrapradesh,adilabad,141
2004,andhrapradesh,adilabad,135
2005,andhrapradesh,adilabad,144
2006,andhrapradesh,adilabad,185
2007,andhrapradesh,adilabad,156
2008,andhrapradesh,adilabad,174
2009,andhrapradesh,adilabad,192
2010,andhrapradesh,adilabad,133
2011,andhrapradesh,adilabad,112
2012,andhrapradesh,adilabad,90
2013,andhrapradesh,adilabad,197
2001,uttarpradesh,agra,110
2002,uttarpradesh,agra,86
2003,uttarpradesh,agra,59
2004,uttarpradesh,agra,87
2005,uttarpradesh,agra,80
2006,uttarpradesh,agra,133
2007,uttarpradesh,agra,82
2008,uttarpradesh,agra,123
2009,uttarpradesh,agra,97
2010,uttarpradesh,agra,91
2011,uttarpradesh,agra,196
2012,uttarpradesh,agra,134
2013,uttarpradesh,agra,239
2001,gujarat,ahmedabad_commr.,54
2002,gujarat,ahmedabad_commr.,36
2003,gujarat,ahmedabad_commr.,50
2004,gujarat,ahmedabad_commr.,63
2005,gujarat,ahmedabad_commr.,54
2006,gujarat,ahmedabad_commr.,72
2007,gujarat,ahmedabad_commr.,104
2008,gujarat,ahmedabad_commr.,78
2009,gujarat,ahmedabad_commr.,74
2010,gujarat,ahmedabad_commr.,73
2011,gujarat,ahmedabad_commr.,83
2012,gujarat,ahmedabad_commr.,79
2013,gujarat,ahmedabad_commr.,180
2001,gujarat,ahmedabad_rural,26
2002,gujarat,ahmedabad_rural,17
2003,gujarat,ahmedabad_rural,18
2004,gujarat,ahmedabad_rural,22
2005,gujarat,ahmedabad_rural,15
2006,gujarat,ahmedabad_rural,31
2007,gujarat,ahmedabad_rural,22
2008,gujarat,ahmedabad_rural,16
2009,gujarat,ahmedabad_rural,17
2010,gujarat,ahmedabad_rural,14
2011,gujarat,ahmedabad_rural,22
2012,gujarat,ahmedabad_rural,33
2013,gujarat,ahmedabad_rural,33
2001,maharashtra,ahmednagar,74
2002,maharashtra,ahmednagar,75
2003,maharashtra,ahmednagar,51
2004,maharashtra,ahmednagar,73
2005,maharashtra,ahmednagar,91
2006,maharashtra,ahmednagar,129
2007,maharashtra,ahmednagar,132
2008,maharashtra,ahmednagar,125
2009,maharashtra,ahmednagar,106
2010,maharashtra,ahmednagar,115
2011,maharashtra,ahmednagar,160
2012,maharashtra,ahmednagar,147
2013,maharashtra,ahmednagar,243
2001,gujarat,ahwa-dang,2
2002,gujarat,ahwa-dang,0
2003,gujarat,ahwa-dang,2
2004,gujarat,ahwa-dang,3
2005,gujarat,ahwa-dang,5
2006,gujarat,ahwa-dang,6
2007,gujarat,ahwa-dang,5
2008,gujarat,ahwa-dang,2
2009,gujarat,ahwa-dang,2
2010,gujarat,ahwa-dang,0
2011,gujarat,ahwa-dang,1
2012,gujarat,ahwa-dang,1
2013,gujarat,ahwa-dang,7
2001,mizoram,aizawl,13
2002,mizoram,aizawl,28
2003,mizoram,aizawl,25
2004,mizoram,aizawl,30
2005,mizoram,aizawl,10
2006,mizoram,aizawl,24
2007,mizoram,aizawl,38
2008,mizoram,aizawl,36
2009,mizoram,aizawl,29
2010,mizoram,aizawl,42
2011,mizoram,aizawl,43
2012,mizoram,aizawl,44
2013,mizoram,aizawl,37
2001,rajasthan,ajmer,95
2002,rajasthan,ajmer,65
2003,rajasthan,ajmer,75
2004,rajasthan,ajmer,78
2005,rajasthan,ajmer,61
2006,rajasthan,ajmer,114
2007,rajasthan,ajmer,105
2008,rajasthan,ajmer,108
2009,rajasthan,ajmer,64
2010,rajasthan,ajmer,81
2011,rajasthan,ajmer,105
2012,rajasthan,ajmer,72
2013,rajasthan,ajmer,166
2001,maharashtra,akola,109
2002,maharashtra,akola,70
2003,maharashtra,akola,80
2004,maharashtra,akola,94
2005,maharashtra,akola,82
2006,maharashtra,akola,95
2007,maharashtra,akola,86
2008,maharashtra,akola,111
2009,maharashtra,akola,97
2010,maharashtra,akola,100
2011,maharashtra,akola,93
2012,maharashtra,akola,92
2013,maharashtra,akola,200
2001,kerala,alapuzha,162
2002,kerala,alapuzha,149
2003,kerala,alapuzha,124
2004,kerala,alapuzha,132
2005,kerala,alapuzha,165
2006,kerala,alapuzha,177
2007,kerala,alapuzha,208
2008,kerala,alapuzha,224
2009,kerala,alapuzha,174
2010,kerala,alapuzha,176
2011,kerala,alapuzha,245
2012,kerala,alapuzha,250
2013,kerala,alapuzha,293
2001,uttarpradesh,aligarh,90
2002,uttarpradesh,aligarh,72
2003,uttarpradesh,aligarh,27
2004,uttarpradesh,aligarh,45
2005,uttarpradesh,aligarh,38
2006,uttarpradesh,aligarh,43
2007,uttarpradesh,aligarh,74
2008,uttarpradesh,aligarh,37
2009,uttarpradesh,aligarh,109
2010,uttarpradesh,aligarh,164
2011,uttarpradesh,aligarh,194
2012,uttarpradesh,aligarh,101
2013,uttarpradesh,aligarh,300
2001,uttarpradesh,allahabad,85
2002,uttarpradesh,allahabad,57
2003,uttarpradesh,allahabad,12
2004,uttarpradesh,allahabad,24
2005,uttarpradesh,allahabad,30
2006,uttarpradesh,allahabad,40
2007,uttarpradesh,allahabad,40
2008,uttarpradesh,allahabad,91
2009,uttarpradesh,allahabad,59
2010,uttarpradesh,allahabad,55
2011,uttarpradesh,allahabad,93
2012,uttarpradesh,allahabad,79
2013,uttarpradesh,allahabad,215
2001,uttarakhand,almora,5
2002,uttarakhand,almora,7
2003,uttarakhand,almora,6
2004,uttarakhand,almora,7
2005,uttarakhand,almora,4
2006,uttarakhand,almora,3
2007,uttarakhand,almora,4
2008,uttarakhand,almora,5
2009,uttarakhand,almora,4
2010,uttarakhand,almora,3
2011,uttarakhand,almora,4
2012,uttarakhand,almora,5
2013,uttarakhand,almora,7
2001,rajasthan,alwar,124
2002,rajasthan,alwar,115
2003,rajasthan,alwar,114
2004,rajasthan,alwar,98
2005,rajasthan,alwar,110
2006,rajasthan,alwar,111
2007,rajasthan,alwar,141
2008,rajasthan,alwar,134
2009,rajasthan,alwar,139
2010,rajasthan,alwar,122
2011,rajasthan,alwar,136
2012,rajasthan,alwar,135
2013,rajasthan,alwar,288
2001,uttarpradesh,ambedkar_nagar,15
2002,uttarpradesh,ambedkar_nagar,16
2003,uttarpradesh,ambedkar_nagar,6
2004,uttarpradesh,ambedkar_nagar,6
2005,uttarpradesh,ambedkar_nagar,14
2006,uttarpradesh,ambedkar_nagar,20
2007,uttarpradesh,ambedkar_nagar,10
2008,uttarpradesh,ambedkar_nagar,20
2009,uttarpradesh,ambedkar_nagar,9
2010,uttarpradesh,ambedkar_nagar,14
2011,uttarpradesh,ambedkar_nagar,33
2012,uttarpradesh,ambedkar_nagar,10
2013,uttarpradesh,ambedkar_nagar,16
2001,maharashtra,amravati_commr.,43
2002,maharashtra,amravati_commr.,35
2003,maharashtra,amravati_commr.,45
2004,maharashtra,amravati_commr.,40
2005,maharashtra,amravati_commr.,31
2006,maharashtra,amravati_commr.,36
2007,maharashtra,amravati_commr.,35
2008,maharashtra,amravati_commr.,41
2009,maharashtra,amravati_commr.,28
2010,maharashtra,amravati_commr.,52
2011,maharashtra,amravati_commr.,49
2012,maharashtra,amravati_commr.,53
2013,maharashtra,amravati_commr.,96
2001,maharashtra,amravati_rural,99
2002,maharashtra,amravati_rural,130
2003,maharashtra,amravati_rural,118
2004,maharashtra,amravati_rural,127
2005,maharashtra,amravati_rural,122
2006,maharashtra,amravati_rural,118
2007,maharashtra,amravati_rural,118
2008,maharashtra,amravati_rural,137
2009,maharashtra,amravati_rural,121
2010,maharashtra,amravati_rural,179
2011,maharashtra,amravati_rural,142
2012,maharashtra,amravati_rural,154
2013,maharashtra,amravati_rural,317
2001,gujarat,amreli,21
2002,gujarat,amreli,18
2003,gujarat,amreli,24
2004,gujarat,amreli,26
2005,gujarat,amreli,18
2006,gujarat,amreli,20
2007,gujarat,amreli,20
2008,gujarat,amreli,31
2009,gujarat,amreli,21
2010,gujarat,amreli,25
2011,gujarat,amreli,28
2012,gujarat,amreli,20
2013,gujarat,amreli,16
2001,gujarat,anand,27
2002,gujarat,anand,22
2003,gujarat,anand,24
2004,gujarat,anand,24
2005,gujarat,anand,28
2006,gujarat,anand,30
2007,gujarat,anand,22
2008,gujarat,anand,25
2009,gujarat,anand,29
2010,gujarat,anand,27
2011,gujarat,anand,20
2012,gujarat,anand,22
2013,gujarat,anand,20
2001,andhrapradesh,anantapur,118
2002,andhrapradesh,anantapur,179
2003,andhrapradesh,anantapur,224
2004,andhrapradesh,anantapur,196
2005,andhrapradesh,anantapur,173
2006,andhrapradesh,anantapur,187
2007,andhrapradesh,anantapur,176
2008,andhrapradesh,anantapur,133
2009,andhrapradesh,anantapur,157
2010,andhrapradesh,anantapur,132
2011,andhrapradesh,anantapur,156
2012,andhrapradesh,anantapur,195
2013,andhrapradesh,anantapur,337
2001,jammu&kashmir,anantnag,53
2002,jammu&kashmir,anantnag,67
2003,jammu&kashmir,anantnag,63
2004,jammu&kashmir,anantnag,88
2005,jammu&kashmir,anantnag,63
2006,jammu&kashmir,anantnag,34
2007,jammu&kashmir,anantnag,57
2008,jammu&kashmir,anantnag,63
2009,jammu&kashmir,anantnag,84
2010,jammu&kashmir,anantnag,112
2011,jammu&kashmir,anantnag,134
2012,jammu&kashmir,anantnag,130
2013,jammu&kashmir,anantnag,129
2001,odisha,angul,90
2002,odisha,angul,53
2003,odisha,angul,111
2004,odisha,angul,81
2005,odisha,angul,135
2006,odisha,angul,97
2007,odisha,angul,199
2008,odisha,angul,186
2009,odisha,angul,224
2010,odisha,angul,253
2011,odisha,angul,299
2012,odisha,angul,321
2013,odisha,angul,288
2001,bihar,araria,3
2002,bihar,araria,2
2003,bihar,araria,3
2004,bihar,araria,13
2005,bihar,araria,6
2006,bihar,araria,10
2007,bihar,araria,51
2008,bihar,araria,35
2009,bihar,araria,4
2010,bihar,araria,2
2011,bihar,araria,14
2012,bihar,araria,8
2013,bihar,araria,10
2001,bihar,arwal,11
2002,bihar,arwal,12
2003,bihar,arwal,0
2004,bihar,arwal,0
2005,bihar,arwal,0
2006,bihar,arwal,20
2007,bihar,arwal,0
2008,bihar,arwal,0
2009,bihar,arwal,9
2010,bihar,arwal,4
2011,bihar,arwal,8
2012,bihar,arwal,0
2013,bihar,arwal,3
2001,westbengal,asansol,0
2002,westbengal,asansol,1
2003,westbengal,asansol,19
2004,westbengal,asansol,37
2005,westbengal,asansol,10
2006,westbengal,asansol,11
2007,westbengal,asansol,20
2008,westbengal,asansol,20
2009,westbengal,asansol,14
2010,westbengal,asansol,13
2011,westbengal,asansol,30
2012,westbengal,asansol,31
2013,westbengal,asansol,73
2001,uttarpradesh,auraiya,13
2002,uttarpradesh,auraiya,20
2003,uttarpradesh,auraiya,11
2004,uttarpradesh,auraiya,11
2005,uttarpradesh,auraiya,15
2006,uttarpradesh,auraiya,13
2007,uttarpradesh,auraiya,17
2008,uttarpradesh,auraiya,7
2009,uttarpradesh,auraiya,20
2010,uttarpradesh,auraiya,19
2011,uttarpradesh,auraiya,14
2012,uttarpradesh,auraiya,27
2013,uttarpradesh,auraiya,38
2001,bihar,aurangabad,13
2002,bihar,aurangabad,4
2003,bihar,aurangabad,6
2004,bihar,aurangabad,0
2005,bihar,aurangabad,0
2006,bihar,aurangabad,5
2007,bihar,aurangabad,25
2008,bihar,aurangabad,13
2009,bihar,aurangabad,16
2010,bihar,aurangabad,3
2011,bihar,aurangabad,32
2012,bihar,aurangabad,2
2013,bihar,aurangabad,37
2001,maharashtra,aurangabad_commr.,33
2002,maharashtra,aurangabad_commr.,30
2003,maharashtra,aurangabad_commr.,25
2004,maharashtra,aurangabad_commr.,21
2005,maharashtra,aurangabad_commr.,31
2006,maharashtra,aurangabad_commr.,39
2007,maharashtra,aurangabad_commr.,57
2008,maharashtra,aurangabad_commr.,51
2009,maharashtra,aurangabad_commr.,61
2010,maharashtra,aurangabad_commr.,52
2011,maharashtra,aurangabad_commr.,65
2012,maharashtra,aurangabad_commr.,79
2013,maharashtra,aurangabad_commr.,173
2001,maharashtra,aurangabad_rural,53
2002,maharashtra,aurangabad_rural,36
2003,maharashtra,aurangabad_rural,48
2004,maharashtra,aurangabad_rural,57
2005,maharashtra,aurangabad_rural,44
2006,maharashtra,aurangabad_rural,56
2007,maharashtra,aurangabad_rural,71
2008,maharashtra,aurangabad_rural,65
2009,maharashtra,aurangabad_rural,49
2010,maharashtra,aurangabad_rural,56
2011,maharashtra,aurangabad_rural,78
2012,maharashtra,aurangabad_rural,77
2013,maharashtra,aurangabad_rural,167
2001,jammu&kashmir,awantipora,8
2002,jammu&kashmir,awantipora,12
2003,jammu&kashmir,awantipora,21
2004,jammu&kashmir,awantipora,23
2005,jammu&kashmir,awantipora,25
2006,jammu&kashmir,awantipora,25
2007,jammu&kashmir,awantipora,29
2008,jammu&kashmir,awantipora,40
2009,jammu&kashmir,awantipora,17
2010,jammu&kashmir,awantipora,19
2011,jammu&kashmir,awantipora,13
2012,jammu&kashmir,awantipora,11
2013,jammu&kashmir,awantipora,18
2001,uttarpradesh,azamgarh,14
2002,uttarpradesh,azamgarh,27
2003,uttarpradesh,azamgarh,18
2004,uttarpradesh,azamgarh,23
2005,uttarpradesh,azamgarh,26
2006,uttarpradesh,azamgarh,13
2007,uttarpradesh,azamgarh,15
2008,uttarpradesh,azamgarh,17
2009,uttarpradesh,azamgarh,26
2010,uttarpradesh,azamgarh,17
2011,uttarpradesh,azamgarh,27
2012,uttarpradesh,azamgarh,28
2013,uttarpradesh,azamgarh,20
2001,uttarpradesh,badaun,51
2002,uttarpradesh,badaun,48
2003,uttarpradesh,badaun,29
2004,uttarpradesh,badaun,47
2005,uttarpradesh,badaun,39
2006,uttarpradesh,badaun,38
2007,uttarpradesh,badaun,29
2008,uttarpradesh,badaun,27
2009,uttarpradesh,badaun,28
2010,uttarpradesh,badaun,49
2011,uttarpradesh,badaun,62
2012,uttarpradesh,badaun,48
2013,uttarpradesh,badaun,102
2001,bihar,bagaha,4
2002,bihar,bagaha,6
2003,bihar,bagaha,3
2004,bihar,bagaha,12
2005,bihar,bagaha,11
2006,bihar,bagaha,7
2007,bihar,bagaha,10
2008,bihar,bagaha,14
2009,bihar,bagaha,44
2010,bihar,bagaha,29
2011,bihar,bagaha,8
2012,bihar,bagaha,0
2013,bihar,bagaha,17
2001,karnataka,bagalkot,39
2002,karnataka,bagalkot,53
2003,karnataka,bagalkot,44
2004,karnataka,bagalkot,40
2005,karnataka,bagalkot,43
2006,karnataka,bagalkot,45
2007,karnataka,bagalkot,51
2008,karnataka,bagalkot,62
2009,karnataka,bagalkot,59
2010,karnataka,bagalkot,67
2011,karnataka,bagalkot,38
2012,karnataka,bagalkot,63
2013,karnataka,bagalkot,86
2001,uttarakhand,bageshwar,1
2002,uttarakhand,bageshwar,0
2003,uttarakhand,bageshwar,3
2004,uttarakhand,bageshwar,0
2005,uttarakhand,bageshwar,1
2006,uttarakhand,bageshwar,6
2007,uttarakhand,bageshwar,6
2008,uttarakhand,bageshwar,3
2009,uttarakhand,bageshwar,1
2010,uttarakhand,bageshwar,3
2011,uttarakhand,bageshwar,2
2012,uttarakhand,bageshwar,5
2013,uttarakhand,bageshwar,3
2001,uttarpradesh,baghpat,18
2002,uttarpradesh,baghpat,14
2003,uttarpradesh,baghpat,9
2004,uttarpradesh,baghpat,12
2005,uttarpradesh,baghpat,15
2006,uttarpradesh,baghpat,11
2007,uttarpradesh,baghpat,10
2008,uttarpradesh,baghpat,16
2009,uttarpradesh,baghpat,6
2010,uttarpradesh,baghpat,13
2011,uttarpradesh,baghpat,35
2012,uttarpradesh,baghpat,26
2013,uttarpradesh,baghpat,56
2001,uttarpradesh,bahraich,15
2002,uttarpradesh,bahraich,10
2003,uttarpradesh,bahraich,8
2004,uttarpradesh,bahraich,12
2005,uttarpradesh,bahraich,20
2006,uttarpradesh,bahraich,25
2007,uttarpradesh,bahraich,20
2008,uttarpradesh,bahraich,24
2009,uttarpradesh,bahraich,33
2010,uttarpradesh,bahraich,40
2011,uttarpradesh,bahraich,49
2012,uttarpradesh,bahraich,28
2013,uttarpradesh,bahraich,44
2001,madhyapradesh,balaghat,157
2002,madhyapradesh,balaghat,186
2003,madhyapradesh,balaghat,134
2004,madhyapradesh,balaghat,175
2005,madhyapradesh,balaghat,155
2006,madhyapradesh,balaghat,111
2007,madhyapradesh,balaghat,89
2008,madhyapradesh,balaghat,131
2009,madhyapradesh,balaghat,96
2010,madhyapradesh,balaghat,97
2011,madhyapradesh,balaghat,104
2012,madhyapradesh,balaghat,113
2013,madhyapradesh,balaghat,140
2001,odisha,balasore,92
2002,odisha,balasore,81
2003,odisha,balasore,61
2004,odisha,balasore,129
2005,odisha,balasore,132
2006,odisha,balasore,145
2007,odisha,balasore,113
2008,odisha,balasore,76
2009,odisha,balasore,124
2010,odisha,balasore,188
2011,odisha,balasore,217
2012,odisha,balasore,242
2013,odisha,balasore,251
2001,uttarpradesh,ballia,7
2002,uttarpradesh,ballia,12
2003,uttarpradesh,ballia,8
2004,uttarpradesh,ballia,15
2005,uttarpradesh,ballia,7
2006,uttarpradesh,ballia,8
2007,uttarpradesh,ballia,10
2008,uttarpradesh,ballia,15
2009,uttarpradesh,ballia,19
2010,uttarpradesh,ballia,14
2011,uttarpradesh,ballia,21
2012,uttarpradesh,ballia,22
2013,uttarpradesh,ballia,107
2001,chhattisgarh,balrampur,18
2001,uttarpradesh,balrampur,23
2002,chhattisgarh,balrampur,33
2002,uttarpradesh,balrampur,9
2003,chhattisgarh,balrampur,29
2003,uttarpradesh,balrampur,1
2004,chhattisgarh,balrampur,32
2004,uttarpradesh,balrampur,8
2005,chhattisgarh,balrampur,20
2005,uttarpradesh,balrampur,9
2006,chhattisgarh,balrampur,40
2006,uttarpradesh,balrampur,11
2007,chhattisgarh,balrampur,45
2007,uttarpradesh,balrampur,12
2008,chhattisgarh,balrampur,43
2008,uttarpradesh,balrampur,12
2009,chhattisgarh,balrampur,40
2009,uttarpradesh,balrampur,11
2010,chhattisgarh,balrampur,71
2010,uttarpradesh,balrampur,7
2011,chhattisgarh,balrampur,52
2011,uttarpradesh,balrampur,13
2012,chhattisgarh,balrampur,52
2012,uttarpradesh,balrampur,17
2013,chhattisgarh,balrampur,50
2013,uttarpradesh,balrampur,24
2001,uttarpradesh,banda,51
2002,uttarpradesh,banda,31
2003,uttarpradesh,banda,15
2004,uttarpradesh,banda,37
2005,uttarpradesh,banda,32
2006,uttarpradesh,banda,20
2007,uttarpradesh,banda,49
2008,uttarpradesh,banda,70
2009,uttarpradesh,banda,42
2010,uttarpradesh,banda,39
2011,uttarpradesh,banda,56
2012,uttarpradesh,banda,58
2013,uttarpradesh,banda,151
2001,karnataka,bangalore_commr.,223
2002,karnataka,bangalore_commr.,237
2003,karnataka,bangalore_commr.,213
2004,karnataka,bangalore_commr.,151
2005,karnataka,bangalore_commr.,167
2006,karnataka,bangalore_commr.,143
2007,karnataka,bangalore_commr.,187
2008,karnataka,bangalore_commr.,179
2009,karnataka,bangalore_commr.,251
2010,karnataka,bangalore_commr.,308
2011,karnataka,bangalore_commr.,250
2012,karnataka,bangalore_commr.,321
2013,karnataka,bangalore_commr.,378
2001,karnataka,bangalore_rural,90
2002,karnataka,bangalore_rural,114
2003,karnataka,bangalore_rural,107
2004,karnataka,bangalore_rural,104
2005,karnataka,bangalore_rural,110
2006,karnataka,bangalore_rural,121
2007,karnataka,bangalore_rural,99
2008,karnataka,bangalore_rural,56
2009,karnataka,bangalore_rural,48
2010,karnataka,bangalore_rural,48
2011,karnataka,bangalore_rural,74
2012,karnataka,bangalore_rural,70
2013,karnataka,bangalore_rural,130
2001,bihar,banka,0
2002,bihar,banka,4
2003,bihar,banka,5
2004,bihar,banka,5
2005,bihar,banka,1
2006,bihar,banka,2
2007,bihar,banka,4
2008,bihar,banka,16
2009,bihar,banka,4
2010,bihar,banka,3
2011,bihar,banka,8
2012,bihar,banka,0
2013,bihar,banka,1
2001,westbengal,bankura,28
2002,westbengal,bankura,22
2003,westbengal,bankura,31
2004,westbengal,bankura,40
2005,westbengal,bankura,54
2006,westbengal,bankura,43
2007,westbengal,bankura,43
2008,westbengal,bankura,45
2009,westbengal,bankura,46
2010,westbengal,bankura,59
2011,westbengal,bankura,83
2012,westbengal,bankura,90
2013,westbengal,bankura,76
2001,rajasthan,banswara,112
2002,rajasthan,banswara,92
2003,rajasthan,banswara,89
2004,rajasthan,banswara,92
2005,rajasthan,banswara,83
2006,rajasthan,banswara,79
2007,rajasthan,banswara,55
2008,rajasthan,banswara,66
2009,rajasthan,banswara,43
2010,rajasthan,banswara,47
2011,rajasthan,banswara,59
2012,rajasthan,banswara,49
2013,rajasthan,banswara,108
2001,uttarpradesh,barabanki,37
2002,uttarpradesh,barabanki,29
2003,uttarpradesh,barabanki,11
2004,uttarpradesh,barabanki,27
2005,uttarpradesh,barabanki,29
2006,uttarpradesh,barabanki,41
2007,uttarpradesh,barabanki,28
2008,uttarpradesh,barabanki,34
2009,uttarpradesh,barabanki,34
2010,uttarpradesh,barabanki,34
2011,uttarpradesh,barabanki,51
2012,uttarpradesh,barabanki,39
2013,uttarpradesh,barabanki,39
2001,odisha,baragarh,41
2002,odisha,baragarh,50
2003,odisha,baragarh,70
2004,odisha,baragarh,63
2005,odisha,baragarh,112
2006,odisha,baragarh,69
2007,odisha,baragarh,63
2008,odisha,baragarh,64
2009,odisha,baragarh,86
2010,odisha,baragarh,69
2011,odisha,baragarh,91
2012,odisha,baragarh,154
2013,odisha,baragarh,149
2001,jammu&kashmir,baramulla,93
2002,jammu&kashmir,baramulla,94
2003,jammu&kashmir,baramulla,159
2004,jammu&kashmir,baramulla,167
2005,jammu&kashmir,baramulla,166
2006,jammu&kashmir,baramulla,153
2007,jammu&kashmir,baramulla,93
2008,jammu&kashmir,baramulla,80
2009,jammu&kashmir,baramulla,127
2010,jammu&kashmir,baramulla,68
2011,jammu&kashmir,baramulla,94
2012,jammu&kashmir,baramulla,109
2013,jammu&kashmir,baramulla,135
2001,rajasthan,baran,219
2002,rajasthan,baran,188
2003,rajasthan,baran,175
2004,rajasthan,baran,164
2005,rajasthan,baran,121
2006,rajasthan,baran,114
2007,rajasthan,baran,112
2008,rajasthan,baran,169
2009,rajasthan,baran,130
2010,rajasthan,baran,129
2011,rajasthan,baran,158
2012,rajasthan,baran,185
2013,rajasthan,baran,208
2001,uttarpradesh,bareilly,110
2002,uttarpradesh,bareilly,70
2003,uttarpradesh,bareilly,27
2004,uttarpradesh,bareilly,76
2005,uttarpradesh,bareilly,89
2006,uttarpradesh,bareilly,70
2007,uttarpradesh,bareilly,97
2008,uttarpradesh,bareilly,110
2009,uttarpradesh,bareilly,125
2010,uttarpradesh,bareilly,97
2011,uttarpradesh,bareilly,92
2012,uttarpradesh,bareilly,112
2013,uttarpradesh,bareilly,198
2001,rajasthan,barmer,71
2002,rajasthan,barmer,83
2003,rajasthan,barmer,72
2004,rajasthan,barmer,95
2005,rajasthan,barmer,86
2006,rajasthan,barmer,85
2007,rajasthan,barmer,78
2008,rajasthan,barmer,82
2009,rajasthan,barmer,96
2010,rajasthan,barmer,71
2011,rajasthan,barmer,36
2012,rajasthan,barmer,59
2013,rajasthan,barmer,190
2001,punjab,barnala,13
2002,punjab,barnala,8
2003,punjab,barnala,12
2004,punjab,barnala,5
2005,punjab,barnala,11
2006,punjab,barnala,7
2007,punjab,barnala,8
2008,punjab,barnala,11
2009,punjab,barnala,6
2010,punjab,barnala,7
2011,punjab,barnala,6
2012,punjab,barnala,4
2013,punjab,barnala,11
2001,assam,barpeta,29
2002,assam,barpeta,18
2003,assam,barpeta,15
2004,assam,barpeta,25
2005,assam,barpeta,25
2006,assam,barpeta,18
2007,assam,barpeta,16
2008,assam,barpeta,34
2009,assam,barpeta,130
2010,assam,barpeta,65
2011,assam,barpeta,25
2012,assam,barpeta,67
2013,assam,barpeta,341
2001,madhyapradesh,barwani,81
2002,madhyapradesh,barwani,71
2003,madhyapradesh,barwani,88
2004,madhyapradesh,barwani,83
2005,madhyapradesh,barwani,92
2006,madhyapradesh,barwani,103
2007,madhyapradesh,barwani,132
2008,madhyapradesh,barwani,81
2009,madhyapradesh,barwani,53
2010,madhyapradesh,barwani,56
2011,madhyapradesh,barwani,58
2012,madhyapradesh,barwani,72
2013,madhyapradesh,barwani,76
2001,uttarpradesh,basti,28
2002,uttarpradesh,basti,13
2003,uttarpradesh,basti,9
2004,uttarpradesh,basti,12
2005,uttarpradesh,basti,8
2006,uttarpradesh,basti,8
2007,uttarpradesh,basti,8
2008,uttarpradesh,basti,5
2009,uttarpradesh,basti,3
2010,uttarpradesh,basti,7
2011,uttarpradesh,basti,5
2012,uttarpradesh,basti,17
2013,uttarpradesh,basti,53
2001,punjab,batala,1
2002,punjab,batala,5
2003,punjab,batala,6
2004,punjab,batala,5
2005,punjab,batala,7
2006,punjab,batala,15
2007,punjab,batala,18
2008,punjab,batala,9
2009,punjab,batala,11
2010,punjab,batala,16
2011,punjab,batala,8
2012,punjab,batala,10
2013,punjab,batala,26
2001,maharashtra,beed,78
2002,maharashtra,beed,51
2003,maharashtra,beed,58
2004,maharashtra,beed,82
2005,maharashtra,beed,99
2006,maharashtra,beed,98
2007,maharashtra,beed,91
2008,maharashtra,beed,92
2009,maharashtra,beed,79
2010,maharashtra,beed,87
2011,maharashtra,beed,99
2012,maharashtra,beed,81
2013,maharashtra,beed,230
2001,bihar,begusarai,32
2002,bihar,begusarai,23
2003,bihar,begusarai,0
2004,bihar,begusarai,5
2005,bihar,begusarai,13
2006,bihar,begusarai,16
2007,bihar,begusarai,15
2008,bihar,begusarai,3
2009,bihar,begusarai,10
2010,bihar,begusarai,10
2011,bihar,begusarai,12
2012,bihar,begusarai,0
2013,bihar,begusarai,55
2001,karnataka,belgaum,62
2002,karnataka,belgaum,55
2003,karnataka,belgaum,45
2004,karnataka,belgaum,56
2005,karnataka,belgaum,74
2006,karnataka,belgaum,107
2007,karnataka,belgaum,129
2008,karnataka,belgaum,180
2009,karnataka,belgaum,220
2010,karnataka,belgaum,222
2011,karnataka,belgaum,221
2012,karnataka,belgaum,205
2013,karnataka,belgaum,246
2001,karnataka,bellary,82
2002,karnataka,bellary,68
2003,karnataka,bellary,58
2004,karnataka,bellary,38
2005,karnataka,bellary,53
2006,karnataka,bellary,59
2007,karnataka,bellary,71
2008,karnataka,bellary,41
2009,karnataka,bellary,66
2010,karnataka,bellary,80
2011,karnataka,bellary,65
2012,karnataka,bellary,48
2013,karnataka,bellary,99
2001,odisha,berhampur,41
2002,odisha,berhampur,41
2003,odisha,berhampur,47
2004,odisha,berhampur,54
2005,odisha,berhampur,111
2006,odisha,berhampur,87
2007,odisha,berhampur,98
2008,odisha,berhampur,90
