Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2007,gujarat,ahmedabad_commr.,13
2008,gujarat,ahmedabad_commr.,19
2009,gujarat,ahmedabad_commr.,18
2010,gujarat,ahmedabad_commr.,9
2011,gujarat,ahmedabad_commr.,16
2012,gujarat,ahmedabad_commr.,7
2013,gujarat,ahmedabad_commr.,8
2001,gujarat,ahmedabad_rural,0
2002,gujarat,ahmedabad_rural,1
2003,gujarat,ahmedabad_rural,0
2004,gujarat,ahmedabad_rural,0
2005,gujarat,ahmedabad_rural,0
2006,gujarat,ahmedabad_rural,0
2007,gujarat,ahmedabad_rural,0
2008,gujarat,ahmedabad_rural,0
2009,gujarat,ahmedabad_rural,0
2010,gujarat,ahmedabad_rural,0
2011,gujarat,ahmedabad_rural,0
2012,gujarat,ahmedabad_rural,0
2013,gujarat,ahmedabad_rural,0
2001,maharashtra,ahmednagar,2
2002,maharashtra,ahmednagar,0
2003,maharashtra,ahmednagar,3
2004,maharashtra,ahmednagar,0
2005,maharashtra,ahmednagar,0
2006,maharashtra,ahmednagar,0
2007,maharashtra,ahmednagar,12
2008,maharashtra,ahmednagar,4
2009,maharashtra,ahmednagar,0
2010,maharashtra,ahmednagar,1
2011,maharashtra,ahmednagar,5
2012,maharashtra,ahmednagar,1
2013,maharashtra,ahmednagar,34
2001,gujarat,ahwa-dang,0
2002,gujarat,ahwa-dang,0
2003,gujarat,ahwa-dang,0
2004,gujarat,ahwa-dang,0
2005,gujarat,ahwa-dang,0
2006,gujarat,ahwa-dang,0
2007,gujarat,ahwa-dang,0
2008,gujarat,ahwa-dang,0
2009,gujarat,ahwa-dang,0
2010,gujarat,ahwa-dang,0
2011,gujarat,ahwa-dang,0
2012,gujarat,ahwa-dang,1
2013,gujarat,ahwa-dang,1
2001,mizoram,aizawl,0
2002,mizoram,aizawl,0
2003,mizoram,aizawl,0
2004,mizoram,aizawl,0
2005,mizoram,aizawl,2
2006,mizoram,aizawl,0
2007,mizoram,aizawl,0
2008,mizoram,aizawl,0
2009,mizoram,aizawl,0
2010,mizoram,aizawl,0
2011,mizoram,aizawl,0
2012,mizoram,aizawl,0
2013,mizoram,aizawl,0
2001,rajasthan,ajmer,0
2002,rajasthan,ajmer,0
2003,rajasthan,ajmer,0
2004,rajasthan,ajmer,0
2005,rajasthan,ajmer,3
2006,rajasthan,ajmer,1
2007,rajasthan,ajmer,3
2008,rajasthan,ajmer,0
2009,rajasthan,ajmer,1
2010,rajasthan,ajmer,0
2011,rajasthan,ajmer,0
2012,rajasthan,ajmer,0
2013,rajasthan,ajmer,1
2001,maharashtra,akola,7
2002,maharashtra,akola,11
2003,maharashtra,akola,5
2004,maharashtra,akola,15
2005,maharashtra,akola,14
2006,maharashtra,akola,14
2007,maharashtra,akola,48
2008,maharashtra,akola,61
2009,maharashtra,akola,63
2010,maharashtra,akola,55
2011,maharashtra,akola,24
2012,maharashtra,akola,40
2013,maharashtra,akola,35
2001,kerala,alapuzha,2
2002,kerala,alapuzha,2
2003,kerala,alapuzha,2
2004,kerala,alapuzha,5
2005,kerala,alapuzha,4
2006,kerala,alapuzha,14
2007,kerala,alapuzha,17
2008,kerala,alapuzha,22
2009,kerala,alapuzha,23
2010,kerala,alapuzha,45
2011,kerala,alapuzha,76
2012,kerala,alapuzha,14
2013,kerala,alapuzha,26
2001,uttarpradesh,aligarh,54
2002,uttarpradesh,aligarh,21
2003,uttarpradesh,aligarh,14
2004,uttarpradesh,aligarh,31
2005,uttarpradesh,aligarh,43
2006,uttarpradesh,aligarh,39
2007,uttarpradesh,aligarh,37
2008,uttarpradesh,aligarh,74
2009,uttarpradesh,aligarh,48
2010,uttarpradesh,aligarh,0
2011,uttarpradesh,aligarh,0
2012,uttarpradesh,aligarh,0
2013,uttarpradesh,aligarh,0
2001,uttarpradesh,allahabad,105
2002,uttarpradesh,allahabad,55
2003,uttarpradesh,allahabad,27
2004,uttarpradesh,allahabad,35
2005,uttarpradesh,allahabad,47
2006,uttarpradesh,allahabad,46
2007,uttarpradesh,allahabad,48
2008,uttarpradesh,allahabad,55
2009,uttarpradesh,allahabad,51
2010,uttarpradesh,allahabad,0
2011,uttarpradesh,allahabad,1
2012,uttarpradesh,allahabad,0
2013,uttarpradesh,allahabad,0
2001,uttarakhand,almora,0
2002,uttarakhand,almora,1
2003,uttarakhand,almora,4
2004,uttarakhand,almora,4
2005,uttarakhand,almora,2
2006,uttarakhand,almora,1
2007,uttarakhand,almora,0
2008,uttarakhand,almora,3
2009,uttarakhand,almora,0
2010,uttarakhand,almora,0
2011,uttarakhand,almora,0
2012,uttarakhand,almora,5
2013,uttarakhand,almora,3
2001,rajasthan,alwar,0
2002,rajasthan,alwar,1
2003,rajasthan,alwar,0
2004,rajasthan,alwar,0
2005,rajasthan,alwar,0
2006,rajasthan,alwar,0
2007,rajasthan,alwar,1
2008,rajasthan,alwar,0
2009,rajasthan,alwar,0
2010,rajasthan,alwar,0
2011,rajasthan,alwar,0
2012,rajasthan,alwar,0
2013,rajasthan,alwar,0
2001,uttarpradesh,ambedkar_nagar,9
2002,uttarpradesh,ambedkar_nagar,11
2003,uttarpradesh,ambedkar_nagar,7
2004,uttarpradesh,ambedkar_nagar,5
2005,uttarpradesh,ambedkar_nagar,9
2006,uttarpradesh,ambedkar_nagar,14
2007,uttarpradesh,ambedkar_nagar,17
2008,uttarpradesh,ambedkar_nagar,20
2009,uttarpradesh,ambedkar_nagar,19
2010,uttarpradesh,ambedkar_nagar,0
2011,uttarpradesh,ambedkar_nagar,0
2012,uttarpradesh,ambedkar_nagar,0
2013,uttarpradesh,ambedkar_nagar,0
2001,maharashtra,amravati_commr.,26
2002,maharashtra,amravati_commr.,32
2003,maharashtra,amravati_commr.,19
2004,maharashtra,amravati_commr.,20
2005,maharashtra,amravati_commr.,20
2006,maharashtra,amravati_commr.,24
2007,maharashtra,amravati_commr.,16
2008,maharashtra,amravati_commr.,10
2009,maharashtra,amravati_commr.,27
2010,maharashtra,amravati_commr.,12
2011,maharashtra,amravati_commr.,13
2012,maharashtra,amravati_commr.,14
2013,maharashtra,amravati_commr.,27
2001,maharashtra,amravati_rural,38
2002,maharashtra,amravati_rural,19
2003,maharashtra,amravati_rural,22
2004,maharashtra,amravati_rural,24
2005,maharashtra,amravati_rural,34
2006,maharashtra,amravati_rural,35
2007,maharashtra,amravati_rural,32
2008,maharashtra,amravati_rural,33
2009,maharashtra,amravati_rural,34
2010,maharashtra,amravati_rural,38
2011,maharashtra,amravati_rural,43
2012,maharashtra,amravati_rural,42
2013,maharashtra,amravati_rural,35
2001,gujarat,amreli,0
2002,gujarat,amreli,1
2003,gujarat,amreli,1
2004,gujarat,amreli,3
2005,gujarat,amreli,1
2006,gujarat,amreli,0
2007,gujarat,amreli,0
2008,gujarat,amreli,3
2009,gujarat,amreli,4
2010,gujarat,amreli,9
2011,gujarat,amreli,1
2012,gujarat,amreli,7
2013,gujarat,amreli,2
2001,gujarat,anand,3
2002,gujarat,anand,2
2003,gujarat,anand,3
2004,gujarat,anand,3
2005,gujarat,anand,2
2006,gujarat,anand,5
2007,gujarat,anand,2
2008,gujarat,anand,2
2009,gujarat,anand,3
2010,gujarat,anand,3
2011,gujarat,anand,0
2012,gujarat,anand,1
2013,gujarat,anand,4
2001,andhrapradesh,anantapur,24
2002,andhrapradesh,anantapur,37
2003,andhrapradesh,anantapur,45
2004,andhrapradesh,anantapur,50
2005,andhrapradesh,anantapur,57
2006,andhrapradesh,anantapur,11
2007,andhrapradesh,anantapur,194
2008,andhrapradesh,anantapur,132
2009,andhrapradesh,anantapur,13
2010,andhrapradesh,anantapur,35
2011,andhrapradesh,anantapur,16
2012,andhrapradesh,anantapur,8
2013,andhrapradesh,anantapur,43
2001,jammu&kashmir,anantnag,12
2002,jammu&kashmir,anantnag,54
2003,jammu&kashmir,anantnag,45
2004,jammu&kashmir,anantnag,24
2005,jammu&kashmir,anantnag,35
2006,jammu&kashmir,anantnag,60
2007,jammu&kashmir,anantnag,29
2008,jammu&kashmir,anantnag,17
2009,jammu&kashmir,anantnag,38
2010,jammu&kashmir,anantnag,24
2011,jammu&kashmir,anantnag,46
2012,jammu&kashmir,anantnag,33
2013,jammu&kashmir,anantnag,26
2001,odisha,angul,0
2002,odisha,angul,4
2003,odisha,angul,0
2004,odisha,angul,0
2005,odisha,angul,0
2006,odisha,angul,13
2007,odisha,angul,18
2008,odisha,angul,11
2009,odisha,angul,8
2010,odisha,angul,5
2011,odisha,angul,8
2012,odisha,angul,8
2013,odisha,angul,7
2001,bihar,araria,0
2002,bihar,araria,0
2003,bihar,araria,0
2004,bihar,araria,0
2005,bihar,araria,0
2006,bihar,araria,0
2007,bihar,araria,0
2008,bihar,araria,0
2009,bihar,araria,0
2010,bihar,araria,0
2011,bihar,araria,0
2012,bihar,araria,7
2013,bihar,araria,0
2001,bihar,arwal,0
2002,bihar,arwal,0
2003,bihar,arwal,0
2004,bihar,arwal,0
2005,bihar,arwal,0
2006,bihar,arwal,0
2007,bihar,arwal,0
2008,bihar,arwal,0
2009,bihar,arwal,0
2010,bihar,arwal,0
2011,bihar,arwal,0
2012,bihar,arwal,0
2013,bihar,arwal,0
2001,westbengal,asansol,0
2002,westbengal,asansol,0
2003,westbengal,asansol,1
2004,westbengal,asansol,2
2005,westbengal,asansol,0
2006,westbengal,asansol,0
2007,westbengal,asansol,1
2008,westbengal,asansol,0
2009,westbengal,asansol,0
2010,westbengal,asansol,0
2011,westbengal,asansol,7
2012,westbengal,asansol,4
2013,westbengal,asansol,1
2001,uttarpradesh,auraiya,7
2002,uttarpradesh,auraiya,4
2003,uttarpradesh,auraiya,24
2004,uttarpradesh,auraiya,2
2005,uttarpradesh,auraiya,8
2006,uttarpradesh,auraiya,6
2007,uttarpradesh,auraiya,10
2008,uttarpradesh,auraiya,14
2009,uttarpradesh,auraiya,16
2010,uttarpradesh,auraiya,0
2011,uttarpradesh,auraiya,0
2012,uttarpradesh,auraiya,0
2013,uttarpradesh,auraiya,0
2001,bihar,aurangabad,2
2002,bihar,aurangabad,0
2003,bihar,aurangabad,0
2004,bihar,aurangabad,0
2005,bihar,aurangabad,0
2006,bihar,aurangabad,0
2007,bihar,aurangabad,0
2008,bihar,aurangabad,0
2009,bihar,aurangabad,0
2010,bihar,aurangabad,0
2011,bihar,aurangabad,0
2012,bihar,aurangabad,0
2013,bihar,aurangabad,0
2001,maharashtra,aurangabad_commr.,12
2002,maharashtra,aurangabad_commr.,13
2003,maharashtra,aurangabad_commr.,10
2004,maharashtra,aurangabad_commr.,7
2005,maharashtra,aurangabad_commr.,8
2006,maharashtra,aurangabad_commr.,22
2007,maharashtra,aurangabad_commr.,31
2008,maharashtra,aurangabad_commr.,16
2009,maharashtra,aurangabad_commr.,21
2010,maharashtra,aurangabad_commr.,39
2011,maharashtra,aurangabad_commr.,29
2012,maharashtra,aurangabad_commr.,28
2013,maharashtra,aurangabad_commr.,38
2001,maharashtra,aurangabad_rural,12
2002,maharashtra,aurangabad_rural,12
2003,maharashtra,aurangabad_rural,8
2004,maharashtra,aurangabad_rural,16
2005,maharashtra,aurangabad_rural,10
2006,maharashtra,aurangabad_rural,12
2007,maharashtra,aurangabad_rural,14
2008,maharashtra,aurangabad_rural,9
2009,maharashtra,aurangabad_rural,4
2010,maharashtra,aurangabad_rural,14
2011,maharashtra,aurangabad_rural,12
2012,maharashtra,aurangabad_rural,25
2013,maharashtra,aurangabad_rural,31
2001,jammu&kashmir,awantipora,2
2002,jammu&kashmir,awantipora,3
2003,jammu&kashmir,awantipora,4
2004,jammu&kashmir,awantipora,2
2005,jammu&kashmir,awantipora,3
2006,jammu&kashmir,awantipora,3
2007,jammu&kashmir,awantipora,7
2008,jammu&kashmir,awantipora,1
2009,jammu&kashmir,awantipora,0
2010,jammu&kashmir,awantipora,3
2011,jammu&kashmir,awantipora,5
2012,jammu&kashmir,awantipora,7
2013,jammu&kashmir,awantipora,4
2001,uttarpradesh,azamgarh,15
2002,uttarpradesh,azamgarh,23
2003,uttarpradesh,azamgarh,39
2004,uttarpradesh,azamgarh,10
2005,uttarpradesh,azamgarh,24
2006,uttarpradesh,azamgarh,24
2007,uttarpradesh,azamgarh,26
2008,uttarpradesh,azamgarh,35
2009,uttarpradesh,azamgarh,31
2010,uttarpradesh,azamgarh,0
2011,uttarpradesh,azamgarh,0
2012,uttarpradesh,azamgarh,0
2013,uttarpradesh,azamgarh,0
2001,uttarpradesh,badaun,14
2002,uttarpradesh,badaun,5
2003,uttarpradesh,badaun,89
2004,uttarpradesh,badaun,19
2005,uttarpradesh,badaun,22
2006,uttarpradesh,badaun,11
2007,uttarpradesh,badaun,18
2008,uttarpradesh,badaun,47
2009,uttarpradesh,badaun,18
2010,uttarpradesh,badaun,0
2011,uttarpradesh,badaun,0
2012,uttarpradesh,badaun,0
2013,uttarpradesh,badaun,0
2001,bihar,bagaha,0
2002,bihar,bagaha,0
2003,bihar,bagaha,0
